Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C19, C21, C23, C25, C27, C3, C31, C33, C35, C44, C45, C7, C9",0805,17,1u,
"C10, C12, C18, C20, C48, C6, C8",0603,7,100n,
"C14, C16, C2, C26, C28, C32, C34, C37, C38, C4, C43, C49",0805,12,100n,
"C17, C29, C5",0805,3,22n,
C22,0603,1,1u,
"C36, C50, C51, C52",0805,4,10u,
"C39, C40",0805,2,22u,
C41,0805,1,75p,
C46,0805,1,2u2,
C47,0805,1,10n,
"C53, C54, C55, C56",CP_Elec_10x10.5,4,150u,
C57,0805,1,68n,
"D1, D2",D_SMA,2,SS14,
"D3, D4, D5, D6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
D7,D_SOD-123,1,15V 0.5W,MMSZ5245B-E3-08
F1,Fuse_Blade_XF_507P,1,Fuse,
IC1,LQFP-80_12x12mm_P0.5mm,1,STM32G474MET6TR,
"J1, J2, J3",PinHeader_01x03_Molex_6.35mm,3,MR30PW-M,MR30PW-M
J10,PinHeader_2x07_P1.27mm_Vertical_SMD,1,STDC,FTSH-105-01-L-DV-K 
"J11, J14",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,2,JST-XH-B6B,
J12,C165948_USB-C_SMD-TYPE-C-31-M-12_1,1,USB_C_Receptacle_USB2,
J13,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,JST-XH-B6B,ASDF
J4,XT30PWM,1,XT30PW-M,XT30PW-M
L1,L_Taiyo-Yuden_NR-60xx,1,10u,NRS6045T100MMGK
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",CSD18514Q5A,18,CSD18514Q5A,CSD18514Q5A
Q19,TO-220-3_Vertical,1,IRF4905,
"R12, R13, R14, R19, R20, R21, R5, R6, R7",2512,9,7mOhm,CRE2512-FZ-R007E-3
"R16, R2, R9",0805,3,45k,ERA6AEB4532V
"R22, R24, R25",0805,3,10k,
R23,0805,1,82k,
R26,0805,1,511k,
R27,0805,1,105k,
"R29, R35",0805,2,100k,
R30,0805,1,13k3,
"R31, R32",0805,2,5k1,
"R34, R41",0805,2,4k7,
R36,0805,1,150k,
SW1,SW_PUSH_6mm_H5mm,1,BOOT,
SW2,SW_PUSH_6mm_H5mm,1,RESET,
TP10,TestPoint_Keystone_5019_Miniature,1,INHA,5019
TP11,TestPoint_Keystone_5019_Miniature,1,INHB,5019
TP12,TestPoint_Keystone_5019_Miniature,1,INHC,5019
TP13,TestPoint_Keystone_5019_Miniature,1,INL,5019
TP14,TestPoint_Keystone_5019_Miniature,1,SOA,5019
TP15,TestPoint_Keystone_5019_Miniature,1,SOB,5019
TP16,TestPoint_Keystone_5019_Miniature,1,SOC,5019
TP17,TestPoint_Keystone_5019_Miniature,1,CAL,5019
TP18,TestPoint_Keystone_5019_Miniature,1,+5V,5019
TP19,TestPoint_Keystone_5019_Miniature,1,+3V3,5019
TP2,TestPoint_Keystone_5019_Miniature,1,SCLK,5019
TP20,TestPoint_Keystone_5019_Miniature,1,GND,5019
TP21,TestPoint_Keystone_5019_Miniature,1,IMU_INT,5019
TP22,TestPoint_Keystone_5019_Miniature,1,VBATT_SENSE,5019
TP3,TestPoint_Keystone_5019_Miniature,1,MISO,5019
TP4,TestPoint_Keystone_5019_Miniature,1,MOSI,5019
TP5,TestPoint_Keystone_5019_Miniature,1,CS,5019
TP6,TestPoint_Keystone_5019_Miniature,1,SDA,5019
TP7,TestPoint_Keystone_5019_Miniature,1,SCL,5019
TP8,TestPoint_Keystone_5019_Miniature,1,EN,5019
TP9,TestPoint_Keystone_5019_Miniature,1,~{FAULT},5019
"U1, U2, U3",C2677109_VQFN-40_L6_0-W6_0-P0_50-TL-EP,3,DRV8304HRHAR,C2677109
U4,C22365427_SOT-23-5_L2_9-W1_6-P0_95-LS2_7-BR,1,AP2112K-3.3TRG1(MS),C22365427
U5,SOT-23-6,1,TPS54302,TPS54302
U6,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
U7,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42670-P,C3288646
Y1,SG-210STF_EPS,1,SG-210STF_16.0000ML0,SG-210STF 16.0000ML0
