Designator,Mid X,Mid Y,Rotation,Layer
C1,34.076602,-91.045,0.0,top
C10,44.7,-68.8,270.0,top
C11,42.576602,-100.745,0.0,top
C12,46.1,-62.1,270.0,top
C13,64.6,-91.1125,0.0,top
C14,69.1,-96.9125,0.0,top
C15,55.9,-93.9125,90.0,top
C16,53.7,-93.9125,90.0,top
C17,58.0,-93.2125,270.0,top
C18,28.9,-64.5,90.0,top
C19,73.1,-100.8125,0.0,top
C2,38.576602,-96.845,0.0,top
C20,36.5,-70.6,180.0,top
C21,57.8,-103.5125,90.0,top
C22,36.5,-72.2,180.0,top
C23,67.6,-103.8125,90.0,top
C25,95.276602,-91.0625,0.0,top
C26,99.776602,-96.8625,0.0,top
C27,86.576602,-93.8625,90.0,top
C28,84.376602,-93.8625,90.0,top
C29,88.676602,-93.1625,270.0,top
C3,25.376602,-93.845,90.0,top
C31,103.776602,-100.7625,0.0,top
C32,57.9,-50.0,270.0,top
C33,88.476602,-103.4625,90.0,top
C34,27.3,-54.8,90.0,top
C35,98.276602,-103.7625,90.0,top
C36,78.25675,-65.125,90.0,top
C37,78.25675,-68.825,270.0,top
C38,69.95675,-63.625,270.0,top
C39,65.313,-68.1625,0.0,top
C4,23.176602,-93.845,90.0,top
C40,65.313,-70.4625,0.0,top
C41,68.513,-57.9625,270.0,top
C43,64.6,-82.1,90.0,top
C44,57.9,-56.4,270.0,top
C45,62.5,-51.3,270.0,top
C46,66.8,-82.1,90.0,top
C47,61.95,-85.0,0.0,top
C48,29.4,-54.8,90.0,top
C49,43.3,-40.0,0.0,top
C5,27.476602,-93.145,270.0,top
C50,21.076602,-93.845,90.0,top
C51,51.6,-93.9125,90.0,top
C52,82.276602,-93.8625,90.0,top
C53,86.4,-71.1,0.0,top
C54,100.3,-71.1,180.0,top
C55,86.4,-83.1,0.0,top
C56,100.3,-83.1,180.0,top
C57,80.6,-56.3,270.0,top
C6,31.0,-54.0,90.0,top
C7,27.276602,-103.445,90.0,top
C8,42.8,-53.5,0.0,top
C9,37.076602,-103.745,90.0,top
D1,65.413,-61.6625,270.0,top
D2,65.5,-51.5,90.0,top
D3,53.8,-39.0,0.0,top
D4,80.5,-38.9,0.0,top
D5,88.2,-38.9,0.0,top
D6,96.1,-39.0,0.0,top
D7,83.1,-56.4,270.0,top
F1,97.7,-46.1,0.0,top
H1,103.5,-40.3,0.0,top
H2,20.4,-85.5,0.0,top
H3,48.4,-122.5,0.0,top
H4,79.0,-122.8,0.0,top
IC1,37.5,-62.0,270.0,top
J1,33.0,-122.1825,0.0,top
J10,52.6,-55.7,180.0,top
J11,20.1,-71.35,90.0,top
J12,67.0,-40.522456,180.0,top
J13,20.1,-52.25,90.0,top
J14,26.45,-38.5,0.0,top
J2,63.523398,-122.25,0.0,top
J3,94.2,-122.2,0.0,top
J4,97.9255,-57.6,270.0,top
L1,70.813,-69.3625,180.0,top
NT1,24.676602,-100.345,270.0,top
NT2,55.2,-100.4125,270.0,top
NT3,85.876602,-100.3625,270.0,top
Q1,23.361308,-105.367002,270.0,top
Q10,53.924706,-112.66525,270.0,top
Q11,74.0,-105.412251,270.0,top
Q12,74.0,-113.212251,270.0,top
Q13,94.376602,-105.362251,270.0,top
Q14,94.416602,-113.13425,270.0,top
Q15,84.561308,-105.384253,270.0,top
Q16,84.601308,-112.61525,270.0,top
Q17,104.676602,-105.362251,270.0,top
Q18,104.676602,-113.162251,270.0,top
Q19,88.15,-57.6,90.0,top
